algorithm,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Original,20,20,213.05670954588982,0.004528399993432686,20,,small_balanced,1,instance_001.json
MMR_Modified,20,20,204.8814220019591,0.008102599997073412,4,improvement_pct=3.8371,small_balanced,1,instance_001.json
GA_Original,20,20,209.6689895234958,5.002302099979715,3558,,small_balanced,1,instance_001.json
GA_Modified,20,20,206.08527225895972,5.004473999986658,2567,improvement_pct=3.2721,small_balanced,1,instance_001.json
MMR_Original,20,20,162.91553709695586,0.0005273999995552003,20,,small_balanced,2,instance_002.json
MMR_Modified,20,20,158.71033853533862,0.001732399978209287,4,improvement_pct=2.5812,small_balanced,2,instance_002.json
GA_Original,20,20,165.71519916657164,5.002304100024048,2886,,small_balanced,2,instance_002.json
GA_Modified,20,20,162.91553709695586,5.002775700006168,2019,improvement_pct=0.0000,small_balanced,2,instance_002.json
MMR_Original,20,20,165.18944188496476,0.000818000000435859,20,,small_balanced,3,instance_003.json
MMR_Modified,20,20,143.97668329217595,0.00624789998983033,6,improvement_pct=12.8415,small_balanced,3,instance_003.json
GA_Original,20,20,155.16515665436324,5.000369599991245,3632,,small_balanced,3,instance_003.json
GA_Modified,20,20,145.17910792621907,5.009995300002629,2128,improvement_pct=12.1136,small_balanced,3,instance_003.json
MMR_Original,20,20,117.09642613100642,0.005513699987204745,20,,small_balanced,4,instance_004.json
MMR_Modified,20,20,117.09642613100642,0.008470800006762147,2,improvement_pct=0.0000,small_balanced,4,instance_004.json
GA_Original,20,20,123.29742326083317,5.001099600020098,5087,,small_balanced,4,instance_004.json
GA_Modified,20,20,117.09642613100642,5.00084429999697,3273,improvement_pct=0.0000,small_balanced,4,instance_004.json
MMR_Original,20,20,174.82098862947086,0.0003634000022429973,20,,small_balanced,5,instance_005.json
MMR_Modified,20,20,158.403499070134,0.0025046999799087644,4,improvement_pct=9.3910,small_balanced,5,instance_005.json
GA_Original,20,20,149.4379232584875,5.002748600003542,3938,,small_balanced,5,instance_005.json
GA_Modified,20,20,170.17509174330968,5.001083100010874,2224,improvement_pct=2.6575,small_balanced,5,instance_005.json
MMR_Original,20,20,111.90920358207411,0.000808700016932562,20,,small_balanced,6,instance_006.json
MMR_Modified,20,20,111.90920358207411,0.004583500005537644,2,improvement_pct=0.0000,small_balanced,6,instance_006.json
GA_Original,20,20,111.35358739372971,5.0020669999939855,3057,,small_balanced,6,instance_006.json
GA_Modified,20,20,110.86233081350055,5.000085499981651,2257,improvement_pct=0.9355,small_balanced,6,instance_006.json
MMR_Original,20,20,189.69221694819785,0.0006442999874707311,20,,small_balanced,7,instance_007.json
MMR_Modified,20,20,187.68015621584152,0.003448000003118068,3,improvement_pct=1.0607,small_balanced,7,instance_007.json
GA_Original,20,20,188.96763187552293,5.001320500014117,3018,,small_balanced,7,instance_007.json
