algorithm,n_weapon_types,n_weapons,n_targets,value,time_sec,iterations,extra,category,instance_id,instance_file
MMR_Original,5,12,5,1.896702426441083,0.000132500019390136,12,,5x5,1,instance_001.json
MMR_Modified,5,12,5,1.896702426441083,0.0011943999561481178,1,improvement_pct=0.0000,5x5,1,instance_001.json
ACO_Original,5,12,5,2.355251376843086,2.120443299994804,869,,5x5,1,instance_001.json
ACO_Modified,5,12,5,1.896702426441083,2.120500400022138,625,improvement_pct=0.0000,5x5,1,instance_001.json
MMR_Original,5,5,5,90.14262561959946,2.080004196614027e-05,5,,5x5,2,instance_002.json
MMR_Modified,5,5,5,90.14262561959946,0.00023100001271814108,1,improvement_pct=0.0000,5x5,2,instance_002.json
ACO_Original,5,5,5,99.0629937555815,2.050159399979748,4105,,5x5,2,instance_002.json
ACO_Modified,5,5,5,90.14262561959946,2.050328899989836,3973,improvement_pct=0.0000,5x5,2,instance_002.json
MMR_Original,5,11,5,24.550316232560178,5.6200020480901e-05,11,,5x5,3,instance_003.json
MMR_Modified,5,11,5,22.158667406092974,0.0010371999815106392,2,improvement_pct=9.7418,5x5,3,instance_003.json
ACO_Original,5,11,5,25.742493612368254,2.110888299997896,1042,,5x5,3,instance_003.json
ACO_Modified,5,11,5,24.550316232560178,2.1101238999981433,1008,improvement_pct=0.0000,5x5,3,instance_003.json
MMR_Original,5,9,5,22.25310292409448,3.9300008211284876e-05,9,,5x5,4,instance_004.json
MMR_Modified,5,9,5,22.25310292409448,0.00040199997602030635,1,improvement_pct=0.0000,5x5,4,instance_004.json
ACO_Original,5,9,5,28.608923985511918,2.091218999994453,1464,,5x5,4,instance_004.json
ACO_Modified,5,9,5,19.31087000430136,2.0911832000128925,1531,improvement_pct=13.2217,5x5,4,instance_004.json
MMR_Original,5,8,5,20.404764975311746,6.57000346109271e-05,8,,5x5,5,instance_005.json
MMR_Modified,5,8,5,20.404764975311746,0.0004437000025063753,1,improvement_pct=0.0000,5x5,5,instance_005.json
ACO_Original,5,8,5,31.05878476950624,2.0825352999963798,1028,,5x5,5,instance_005.json
ACO_Modified,5,8,5,20.404764975311746,2.080126899993047,1623,improvement_pct=0.0000,5x5,5,instance_005.json
MMR_Original,5,9,5,3.82731784355458,2.7200032491236925e-05,9,,5x5,6,instance_006.json
MMR_Modified,5,9,5,3.82731784355458,0.0002826999989338219,1,improvement_pct=0.0000,5x5,6,instance_006.json
ACO_Original,5,9,5,5.971398634671112,2.0916198000195436,1189,,5x5,6,instance_006.json
ACO_Modified,5,9,5,3.126626023245333,2.090140300046187,1499,improvement_pct=18.3076,5x5,6,instance_006.json
MMR_Original,5,9,5,12.211744884416262,2.7300033252686262e-05,9,,5x5,7,instance_007.json
MMR_Modified,5,9,5,12.211744884416262,0.0002723999787122011,1,improvement_pct=0.0000,5x5,7,instance_007.json
ACO_Original,5,9,5,14.376860974289029,2.0921537000103854,1460,,5x5,7,instance_007.json
ACO_Modified,5,9,5,12.211744884416262,2.0904793000081554,1448,improvement_pct=0.0000,5x5,7,instance_007.json
MMR_Original,5,8,5,37.11059881528248,2.4499953724443913e-05,8,,5x5,8,instance_008.json
MMR_Modified,5,8,5,35.23532975650191,0.00043890002416446805,2,improvement_pct=5.0532,5x5,8,instance_008.json
ACO_Original,5,8,5,26.898042606639912,2.0820536999963224,1753,,5x5,8,instance_008.json
ACO_Modified,5,8,5,26.898042606639912,2.0819958000211045,1568,improvement_pct=27.5192,5x5,8,instance_008.json
MMR_Original,5,7,5,52.1635585764942,1.9799976143985987e-05,7,,5x5,9,instance_009.json
MMR_Modified,5,7,5,52.1635585764942,0.00019589997828006744,1,improvement_pct=0.0000,5x5,9,instance_009.json
ACO_Original,5,7,5,67.6841015967244,2.0700674999970943,2266,,5x5,9,instance_009.json
ACO_Modified,5,7,5,52.1635585764942,2.070399899967015,2250,improvement_pct=0.0000,5x5,9,instance_009.json
MMR_Original,5,10,5,3.922257904891334,9.390001650899649e-05,10,,5x5,10,instance_010.json
MMR_Modified,5,10,5,3.922257904891334,0.0013636999647133052,1,improvement_pct=0.0000,5x5,10,instance_010.json
ACO_Original,5,10,5,25.225087838548486,2.101297600020189,1248,,5x5,10,instance_010.json
ACO_Modified,5,10,5,3.922257904891334,2.1020151000120677,1227,improvement_pct=0.0000,5x5,10,instance_010.json
MMR_Original,5,9,5,42.92727606371435,2.7099973522126675e-05,9,,5x5,11,instance_011.json
MMR_Modified,5,9,5,42.92727606371435,0.0002702000201679766,1,improvement_pct=0.0000,5x5,11,instance_011.json
ACO_Original,5,9,5,47.620803852969104,2.090787499968428,1407,,5x5,11,instance_011.json
ACO_Modified,5,9,5,42.92727606371435,2.0905451999860816,1452,improvement_pct=0.0000,5x5,11,instance_011.json
MMR_Original,5,10,5,4.033447412497191,3.130000550299883e-05,10,,5x5,12,instance_012.json
MMR_Modified,5,10,5,4.033447412497191,0.0003200999926775694,1,improvement_pct=0.0000,5x5,12,instance_012.json
ACO_Original,5,10,5,8.048030322490636,2.1011250000447035,1253,,5x5,12,instance_012.json
ACO_Modified,5,10,5,4.033447412497191,2.101668299990706,1274,improvement_pct=0.0000,5x5,12,instance_012.json
MMR_Original,5,8,5,10.44731183879049,0.0002581999870017171,8,,5x5,13,instance_013.json
MMR_Modified,5,8,5,10.44731183879049,0.0006322000408545136,1,improvement_pct=0.0000,5x5,13,instance_013.json
ACO_Original,5,8,5,16.335699910952098,2.080738399992697,1878,,5x5,13,instance_013.json
ACO_Modified,5,8,5,10.44731183879049,2.0808399000088684,1821,improvement_pct=0.0000,5x5,13,instance_013.json
MMR_Original,5,10,5,6.25356254432879,5.690002581104636e-05,10,,5x5,14,instance_014.json
MMR_Modified,5,10,5,3.4521354357841942,0.002187499951105565,3,improvement_pct=44.7973,5x5,14,instance_014.json
ACO_Original,5,10,5,14.117127303796575,2.1003336000139825,1261,,5x5,14,instance_014.json
ACO_Modified,5,10,5,6.25356254432879,2.1004469000035897,1168,improvement_pct=0.0000,5x5,14,instance_014.json
MMR_Original,5,7,5,11.169531348660877,2.19999928958714e-05,7,,5x5,15,instance_015.json
MMR_Modified,5,7,5,11.169531348660877,0.00019880000036209822,1,improvement_pct=0.0000,5x5,15,instance_015.json
ACO_Original,5,7,5,12.222738856580612,2.0717732000048272,1732,,5x5,15,instance_015.json
ACO_Modified,5,7,5,10.65847440525789,2.0701997000142,2239,improvement_pct=4.5755,5x5,15,instance_015.json
MMR_Original,5,12,5,2.9365683960919915,4.2899977415800095e-05,12,,5x5,16,instance_016.json
MMR_Modified,5,12,5,2.9365683960919915,0.0004194999928586185,1,improvement_pct=0.0000,5x5,16,instance_016.json
ACO_Original,5,12,5,9.06893602663101,2.122735900047701,888,,5x5,16,instance_016.json
ACO_Modified,5,12,5,2.9365683960919915,2.120559500006493,884,improvement_pct=0.0000,5x5,16,instance_016.json
MMR_Original,5,8,5,30.51756586318284,2.5600020308047533e-05,8,,5x5,17,instance_017.json
MMR_Modified,5,8,5,30.51756586318284,0.0002470000181347132,1,improvement_pct=0.0000,5x5,17,instance_017.json
